,province,area_zone,classes,occupation,wage_rate_per_hour
2,Alberta ,Calgary Zone,,Electricians,30.86
3,Alberta ,Calgary Zone,,Plumbers,31.98
4,Alberta ,Calgary Zone,,Sprinkler System Installers,34.92
5,Alberta ,Calgary Zone,,"Pipefitters, Steamfitters",27.82
6,Alberta ,Calgary Zone,,Sheet Metal Workers,31.04
7,Alberta ,Calgary Zone,,Ironworkers (except reinforcing ironworkers (rebar/rodman)),26.84
8,Alberta ,Calgary Zone,,Reinforcing Ironworkers (Rebar/Rodman),25.74
9,Alberta ,Calgary Zone,,Metal Building System Erectors,24.12
10,Alberta ,Calgary Zone,,Carpenters,26.87
11,Alberta ,Calgary Zone,,Bricklayers (except refractory bricklayers),31.58
12,Alberta ,Calgary Zone,,Concrete Finishers,23.88
13,Alberta ,Calgary Zone,,"Tilesetters (including terrazo, marble setters)",25.96
14,Alberta ,Calgary Zone,,Plasterers and Drywall Tapers,26.5
15,Alberta ,Calgary Zone,,"Drywall Installers, Finishers and Lathers",24.87
16,Alberta ,Calgary Zone,,Interior System Mechanics (including steel stud),27.48
17,Alberta ,Calgary Zone,,Roofers,23.29
18,Alberta ,Calgary Zone,,Glaziers,27.14
19,Alberta ,Calgary Zone,,Insulators,22.54
20,Alberta ,Calgary Zone,,Painters,20.77
21,Alberta ,Calgary Zone,,Construction Millwrights,30.49
22,Alberta ,Calgary Zone,,Heavy-Duty Equipment Mechanics,28.57
23,Alberta ,Calgary Zone,,Refrigeration and Air Conditioning Mechanics,35.2
24,Alberta ,Calgary Zone,,Elevator Constructors,39.47
25,Alberta ,Calgary Zone,,Mobile Crane Operators,28.88
26,Alberta ,Calgary Zone,,Tower Crane Operators,26.11
27,Alberta ,Calgary Zone,,Straight Truck Drivers,22.88
28,Alberta ,Calgary Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,23.38
29,Alberta ,Calgary Zone,,Grader Operators,25.31
30,Alberta ,Calgary Zone,,Paving Machine and Asphalt Plant Operators,26.54
31,Alberta ,Calgary Zone,,Scraper Operators,21.66
32,Alberta ,Calgary Zone,,Packer (road roller) Operators,19.93
33,Alberta ,Calgary Zone,,General Welder - Canadian Welders' Bureau,29.75
34,Alberta ,Calgary Zone,,Asphalt Layers (by hand - includes rakers),24.49
35,Alberta ,Calgary Zone,,"Trade Helpers, Labourers (except asphalt layers and scaffold erectors)",18.69
36,Alberta ,Calgary Zone,,Scaffold Erectors,22.99
37,Alberta ,Edmonton Zone,,Electricians,31.09
38,Alberta ,Edmonton Zone,,Plumbers,30.8
39,Alberta ,Edmonton Zone,,Sprinkler System Installers,36.95
40,Alberta ,Edmonton Zone,,"Pipefitters, Steamfitters",26.12
41,Alberta ,Edmonton Zone,,Sheet Metal Workers,28.94
42,Alberta ,Edmonton Zone,,Ironworkers (except reinforcing ironworkers(rebar/rodman)),25.94
43,Alberta ,Edmonton Zone,,Reinforcing Ironworkers (Rebar/Rodman),29.62
44,Alberta ,Edmonton Zone,,Metal Building System Erectors,23.67
45,Alberta ,Edmonton Zone,,Carpenters,28.46
46,Alberta ,Edmonton Zone,,Bricklayers (except refractory bricklayers),30.0
47,Alberta ,Edmonton Zone,,Concrete Finishers,24.72
48,Alberta ,Edmonton Zone,,"Tilesetters (including terrazo, marble setters)",25.5
49,Alberta ,Edmonton Zone,,Plasterers and Drywall Tapers,26.91
50,Alberta ,Edmonton Zone,,"Drywall Installers,Finishers and Lathers",26.52
51,Alberta ,Edmonton Zone,,Interior System Mechanics (including steel stud),27.18
52,Alberta ,Edmonton Zone,,Roofers,26.38
53,Alberta ,Edmonton Zone,,Glaziers,25.68
54,Alberta ,Edmonton Zone,,Insulators,23.58
55,Alberta ,Edmonton Zone,,Painters,21.29
56,Alberta ,Edmonton Zone,,Construction Millwrights,29.09
57,Alberta ,Edmonton Zone,,Heavy-Duty Equipment Mechanics,31.45
58,Alberta ,Edmonton Zone,,Refrigeration and Air Conditioning Mechanics,33.91
59,Alberta ,Edmonton Zone,,Elevator Constructors,40.98
60,Alberta ,Edmonton Zone,,Mobile Crane Operators,28.02
61,Alberta ,Edmonton Zone,,Tower Crane Operators,26.11
62,Alberta ,Edmonton Zone,,Straight Truck Drivers,22.98
63,Alberta ,Edmonton Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,27.01
64,Alberta ,Edmonton Zone,,Grader Operators,27.46
65,Alberta ,Edmonton Zone,,Paving Machine and Asphalt Plant Operators,23.13
66,Alberta ,Edmonton Zone,,Scraper Operators,25.72
67,Alberta ,Edmonton Zone,,Packer (road roller) Operators,20.7
68,Alberta ,Edmonton Zone,,General Welder - Canadian Welders' Bureau,32.44
69,Alberta ,Edmonton Zone,,Asphalt Layers (by hand - includes rakers),23.57
70,Alberta ,Edmonton Zone,,"Trade Helpers, Labourers (except asphalt layers andscaffold erectors)",19.1
71,Alberta ,Edmonton Zone,,Scaffold Erectors,22.99
72,Alberta ,Mid Zone,,Electricians,29.79
73,Alberta ,Mid Zone,,Plumbers,28.09
74,Alberta ,Mid Zone,,Sprinkler System Installers,35.62
75,Alberta ,Mid Zone,,"Pipefitters, Steamfitters",26.92
76,Alberta ,Mid Zone,,Sheet Metal Workers,23.37
77,Alberta ,Mid Zone,,Ironworkers (except reinforcing ironworkers (rebar/rodman)),26.84
78,Alberta ,Mid Zone,,Reinforcing Ironworkers (Rebar/Rodman),19.96
79,Alberta ,Mid Zone,,Metal Building System Erectors,24.12
80,Alberta ,Mid Zone,,Carpenters,25.56
81,Alberta ,Mid Zone,,Bricklayers (except refractory bricklayers),30.61
82,Alberta ,Mid Zone,,Concrete Finishers,21.9
83,Alberta ,Mid Zone,,"Tilesetters (including terrazo, marble setters)",25.35
84,Alberta ,Mid Zone,,Plasterers and Drywall Tapers,23.49
85,Alberta ,Mid Zone,,"Drywall Installers, Finishers and Lathers",25.51
86,Alberta ,Mid Zone,,Interior System Mechanics (including steel stud),26.78
87,Alberta ,Mid Zone,,Roofers,26.28
88,Alberta ,Mid Zone,,Glaziers,26.45
89,Alberta ,Mid Zone,,Insulators,21.17
90,Alberta ,Mid Zone,,Painters,20.78
91,Alberta ,Mid Zone,,Construction Millwrights,29.09
92,Alberta ,Mid Zone,,Heavy-Duty Equipment Mechanics,28.05
93,Alberta ,Mid Zone,,Refrigeration and Air Conditioning Mechanics,33.49
94,Alberta ,Mid Zone,,Elevator Constructors,39.95
95,Alberta ,Mid Zone,,Mobile Crane Operators,28.02
96,Alberta ,Mid Zone,,Tower Crane Operators,26.11
97,Alberta ,Mid Zone,,Straight Truck Drivers,24.03
98,Alberta ,Mid Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,23.2
99,Alberta ,Mid Zone,,Grader Operators,24.17
100,Alberta ,Mid Zone,,Paving Machine and Asphalt Plant Operators,24.07
101,Alberta ,Mid Zone,,Scraper Operators,25.12
102,Alberta ,Mid Zone,,Packer (road roller) Operators,19.72
103,Alberta ,Mid Zone,,General Welder - Canadian Welders' Bureau,25.84
104,Alberta ,Mid Zone,,Asphalt Layers (by hand - includes rakers),20.99
105,Alberta ,Mid Zone,,"Trade Helpers, Labourers (except asphalt layers and scaffold erectors)",17.22
106,Alberta ,Mid Zone,,Scaffold Erectors,22.99
107,Alberta ,North Zone,,Electricians,31.87
108,Alberta ,North Zone,,Plumbers,32.59
109,Alberta ,North Zone,,Sprinkler System Installers,35.62
110,Alberta ,North Zone,,"Pipefitters, Steamfitters",30.81
111,Alberta ,North Zone,,Sheet Metal Workers,30.33
112,Alberta ,North Zone,,Ironworkers (except reinforcing ironworkers (rebar/rodman)),26.84
113,Alberta ,North Zone,,Reinforcing Ironworkers (Rebar/Rodman),27.98
114,Alberta ,North Zone,,Metal Building System Erectors,24.12
115,Alberta ,North Zone,,Carpenters,26.48
116,Alberta ,North Zone,,Bricklayers (except refractory brick layers),30.61
117,Alberta ,North Zone,,Concrete Finishers,26.67
118,Alberta ,North Zone,,"Tilesetters (including terrazo, marble setters)",25.35
119,Alberta ,North Zone,,Plasterers and Drywall Tapers,25.99
120,Alberta ,North Zone,,"Drywall Installers,Finishers and Lathers",25.51
121,Alberta ,North Zone,,Interior System Mechanics (including steel stud),26.78
122,Alberta ,North Zone,,Roofers,22.13
123,Alberta ,North Zone,,Glaziers,26.45
124,Alberta ,North Zone,,Insulators,22.4
125,Alberta ,North Zone,,Painters,19.91
126,Alberta ,North Zone,,Construction Millwrights,29.09
127,Alberta ,North Zone,,Heavy-Duty Equipment Mechanics,28.96
128,Alberta ,North Zone,,Refrigeration and Air Conditioning Mechanics,35.69
129,Alberta ,North Zone,,Elevator Constructors,39.95
130,Alberta ,North Zone,,Mobile Crane Operators,28.02
131,Alberta ,North Zone,,Tower Crane Operators,26.11
132,Alberta ,North Zone,,Straight Truck Drivers,24.88
133,Alberta ,North Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,25.75
134,Alberta ,North Zone,,Grader Operators,25.1
135,Alberta ,North Zone,,Paving Machine and Asphalt Plant Operators,24.07
136,Alberta ,North Zone,,Scraper Operators,25.56
137,Alberta ,North Zone,,Packer (road roller) Operators,19.92
138,Alberta ,North Zone,,General Welder - Canadian Welders' Bureau,39.36
139,Alberta ,North Zone,,Asphalt Layers (by hand - includes rakers),23.62
140,Alberta ,North Zone,,"Trade Helpers, Labourers (except asphalt layers andscaffold erectors)",18.31
141,Alberta ,North Zone,,Scaffold Erectors,22.99
142,Alberta ,South Zone,,Electricians,28.28
143,Alberta ,South Zone,,Plumbers,27.7
144,Alberta ,South Zone,,Sprinkler System Installers,35.62
145,Alberta ,South Zone,,"Pipefitters, Steamfitters",21.45
146,Alberta ,South Zone,,Sheet Metal Workers,25.11
147,Alberta ,South Zone,,Ironworkers (except reinforcing ironworkers (rebar/rodman)),27.09
148,Alberta ,South Zone,,Reinforcing Ironworkers (Rebar/Rodman),27.98
149,Alberta ,South Zone,,Metal Building System Erectors,24.12
150,Alberta ,South Zone,,Carpenters,22.81
151,Alberta ,South Zone,,Bricklayers (except refractory bricklayers),27.0
152,Alberta ,South Zone,,Concrete Finishers,21.4
153,Alberta ,South Zone,,"Tilesetters (including terrazo, marble setters)",25.35
154,Alberta ,South Zone,,Plasterers and Drywall Tapers,23.92
155,Alberta ,South Zone,,"Drywall Installers, Finishers and Lathers",24.67
156,Alberta ,South Zone,,Interior System Mechanics (including steel stud),24.88
157,Alberta ,South Zone,,Roofers,18.88
158,Alberta ,South Zone,,Glaziers,26.45
159,Alberta ,South Zone,,Insulators,18.27
160,Alberta ,South Zone,,Painters,20.21
161,Alberta ,South Zone,,Construction Millwrights,29.09
162,Alberta ,South Zone,,Heavy-Duty Equipment Mechanics,25.97
163,Alberta ,South Zone,,Refrigeration and Air Conditioning Mechanics,27.89
164,Alberta ,South Zone,,Elevator Constructors,39.95
165,Alberta ,South Zone,,Mobile Crane Operators,28.02
166,Alberta ,South Zone,,Tower Crane Operators,26.11
167,Alberta ,South Zone,,Straight Truck Drivers,18.65
168,Alberta ,South Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,21.22
169,Alberta ,South Zone,,Grader Operators,24.52
170,Alberta ,South Zone,,Paving Machine and Asphalt Plant Operators,24.07
171,Alberta ,South Zone,,Scraper Operators,22.89
172,Alberta ,South Zone,,Packer (road roller) Operators,17.79
173,Alberta ,South Zone,,General Welder - Canadian Welders' Bureau,26.24
174,Alberta ,South Zone,,Asphalt Layers (by hand - includes rakers),23.62
175,Alberta ,South Zone,,"Trade Helpers, Labourers (except asphalt layers and scaffold erectors)",16.03
176,Alberta ,South Zone,,Scaffold Erectors,22.99
177,British Columbia,Island/Coast/North Zone,,Electricians,30.6
178,British Columbia,Island/Coast/North Zone,,Plumbers,32.4
179,British Columbia,Island/Coast/North Zone,,Sprinkler System Installers,32.0
180,British Columbia,Island/Coast/North Zone,,Steamfitters and Pipefitters,33.4
181,British Columbia,Island/Coast/North Zone,,Sheet Metal Workers,30.5
182,British Columbia,Island/Coast/North Zone,,Ironworkers (excluding Reinforcing Ironworkers),32.4
183,British Columbia,Island/Coast/North Zone,,Reinforcing Ironworkers (rebar/rodman),23.9
184,British Columbia,Island/Coast/North Zone,,Carpenters,28.2
185,British Columbia,Island/Coast/North Zone,,Bricklayers,29.5
186,British Columbia,Island/Coast/North Zone,,Concrete Finishers,24.5
187,British Columbia,Island/Coast/North Zone,,"Tilesetters (including Terrazo and Marble, etc.)",27.9
188,British Columbia,Island/Coast/North Zone,,Plasterers and Stucco Applicators,25.0
189,British Columbia,Island/Coast/North Zone,,"Drywall Installers, Finishers, Lathers and Tapers",26.9
190,British Columbia,Island/Coast/North Zone,,Roofers,24.1
191,British Columbia,Island/Coast/North Zone,,Glaziers,26.8
192,British Columbia,Island/Coast/North Zone,,Insulators,23.8
193,British Columbia,Island/Coast/North Zone,,Painters,21.1
194,British Columbia,Island/Coast/North Zone,,Floor Covering Installers,23.2
195,British Columbia,Island/Coast/North Zone,,Construction Millwrights,35.19
196,British Columbia,Island/Coast/North Zone,,Heavy Equipment Mechanics,29.9
197,British Columbia,Island/Coast/North Zone,,Refrigeration and Air Conditioning Mechanics,35.2
198,British Columbia,Island/Coast/North Zone,,Elevator Constructors,43.79
199,British Columbia,Island/Coast/North Zone,,Mobile Crane Operators,34.2
200,British Columbia,Island/Coast/North Zone,,Tower Crane Operators,30.18
201,British Columbia,Island/Coast/North Zone,,Straight Truck Drivers,26.9
202,British Columbia,Island/Coast/North Zone,,Road Tractor Drivers of Semi-Trailers and Trailers,25.9
203,British Columbia,Island/Coast/North Zone,,"Heavy Equipment Operators (excluding Cranes, Graders and Asphalt and Paving Machines)",27.4
204,British Columbia,Island/Coast/North Zone,,Grader Operators,27.1
205,British Columbia,Island/Coast/North Zone,,Paving Machine and Asphalt Plant Operators,28.7
206,British Columbia,Island/Coast/North Zone,,Scraper Operators,28.4
207,British Columbia,Island/Coast/North Zone,,Packer (Road-Roller) Operators,23.4
208,British Columbia,Island/Coast/North Zone,,Pressure Vessel Welders,32.5
209,British Columbia,Island/Coast/North Zone,,Traffic Accommodation Persons,17.5
210,British Columbia,Island/Coast/North Zone,,Form Setters,23.4
211,British Columbia,Island/Coast/North Zone,,Asphalt Layers (by hand - includes rakers),25.31
212,British Columbia,Island/Coast/North Zone,,"Helpers, Labourers (excluding Asphalt Layers, Traffic Accommodation Persons or Form Setters)",18.7
213,British Columbia,Island/Coast/North Zone,,Powder Persons and Drillers,29.4
214,British Columbia,Island/Coast/North Zone,,"Helpers, Labourers with First Aid Ticket",19.0
215,British Columbia,Vancouver Zone,,Electricians,31.4
216,British Columbia,Vancouver Zone,,Plumbers,29.3
217,British Columbia,Vancouver Zone,,Sprinkler System Installers,28.5
218,British Columbia,Vancouver Zone,,Steamfitters and Pipefitters,31.4
219,British Columbia,Vancouver Zone,,Sheet Metal Workers,29.3
220,British Columbia,Vancouver Zone,,Ironworkers (excluding Reinforcing Ironworkers),27.9
221,British Columbia,Vancouver Zone,,Reinforcing Ironworkers (rebar/rodman),21.1
222,British Columbia,Vancouver Zone,,Carpenters,26.4
223,British Columbia,Vancouver Zone,,Bricklayers,30.2
224,British Columbia,Vancouver Zone,,Concrete Finishers,26.6
225,British Columbia,Vancouver Zone,,"Tilesetters (including Terrazzo and Marble, etc.)",27.2
226,British Columbia,Vancouver Zone,,Plasterers and Stucco Applicators,26.7
227,British Columbia,Vancouver Zone,,"Drywall Installers, Finishers, Lathers and Tapers",27.1
228,British Columbia,Vancouver Zone,,Roofers,24.3
229,British Columbia,Vancouver Zone,,Glaziers,28.0
230,British Columbia,Vancouver Zone,,Insulators,24.8
231,British Columbia,Vancouver Zone,,Painters,22.7
232,British Columbia,Vancouver Zone,,Floor Covering Installers,29.6
233,British Columbia,Vancouver Zone,,Construction Millwrights,35.19
234,British Columbia,Vancouver Zone,,Heavy-Duty Equipment Mechanics,31.7
235,British Columbia,Vancouver Zone,,Refrigeration and Air Conditioning Mechanics,37.6
236,British Columbia,Vancouver Zone,,Elevator Constructors,42.5
237,British Columbia,Vancouver Zone,,Mobile Crane Operators,32.6
238,British Columbia,Vancouver Zone,,Tower Crane Operators,32.8
239,British Columbia,Vancouver Zone,,Straight Truck Drivers,23.3
240,British Columbia,Vancouver Zone,,Road Tractor Drivers of Semi-Trailers and Trailers,25.8
241,British Columbia,Vancouver Zone,,"Heavy Equipment Operators (excluding Cranes, Graders and Asphalt and Paving Machines)",29.9
242,British Columbia,Vancouver Zone,,Grader Operators,28.7
243,British Columbia,Vancouver Zone,,Paving Machine and Asphalt Plant Operators,28.7
244,British Columbia,Vancouver Zone,,Scraper Operators,29.5
245,British Columbia,Vancouver Zone,,Packer (Road-Roller) Operators,28.2
246,British Columbia,Vancouver Zone,,Pressure Vessel Welders,29.1
247,British Columbia,Vancouver Zone,,Traffic Accommodation Persons,20.7
248,British Columbia,Vancouver Zone,,Form Setters,24.3
249,British Columbia,Vancouver Zone,,Asphalt Layers (by hand - includes rakers),26.7
250,British Columbia,Vancouver Zone,,"Helpers, Labourers (excluding Asphalt Layers, Traffic Accommodation Persons or Form Setters)",19.5
251,British Columbia,Vancouver Zone,,Powder Persons and Drillers,29.3
252,British Columbia,Vancouver Zone,,"Helpers, Labourers with First Aid Ticket",21.1
253,British Columbia,South Interior Zone,,Electricians,28.8
254,British Columbia,South Interior Zone,,Plumbers,30.0
255,British Columbia,South Interior Zone,,Sprinkler System Installers,32.4
256,British Columbia,South Interior Zone,,Steamfitters and Pipefitters,31.6
257,British Columbia,South Interior Zone,,Sheet Metal Workers,29.1
258,British Columbia,South Interior Zone,,Ironworkers (excluding Reinforcing Ironworkers),29.2
259,British Columbia,South Interior Zone,,Reinforcing Ironworkers (rebar/rodman),22.9
260,British Columbia,South Interior Zone,,Carpenters,26.7
261,British Columbia,South Interior Zone,,Bricklayers,27.9
262,British Columbia,South Interior Zone,,Concrete Finishers,24.4
263,British Columbia,South Interior Zone,,"Tilesetters (including Terrazzo and Marble, etc.)",27.3
264,British Columbia,South Interior Zone,,Plasterer and Stucco Applicators,26.0
265,British Columbia,South Interior Zone,,"Drywall Installers and Finishers, Lathers and Tapers",27.4
266,British Columbia,South Interior Zone,,Roofers,22.4
267,British Columbia,South Interior Zone,,Glaziers,23.9
268,British Columbia,South Interior Zone,,Insulators,20.6
269,British Columbia,South Interior Zone,,Painters,21.1
270,British Columbia,South Interior Zone,,Floor Covering Installers,28.58
271,British Columbia,South Interior Zone,,Construction Millwrights,35.5
272,British Columbia,South Interior Zone,,Heavy Equipment Mechanics,28.9
273,British Columbia,South Interior Zone,,Refrigeration and Air Conditioning Mechanics,31.6
274,British Columbia,South Interior Zone,,Elevator Constructors,43.79
275,British Columbia,South Interior Zone,,Mobile Crane Operators,29.0
276,British Columbia,South Interior Zone,,Tower Crane Operators,30.18
277,British Columbia,South Interior Zone,,Straight Truck Drivers,24.7
278,British Columbia,South Interior Zone,,Road Tractor Drivers of Semi-Trailers and Trailers,24.2
279,British Columbia,South Interior Zone,,"Heavy Equipment Operators (excluding Cranes, Graders and Asphalt and Paving Machines)",26.5
280,British Columbia,South Interior Zone,,Grader Operators,26.5
281,British Columbia,South Interior Zone,,Paving Machine and Asphalt Plant Operators,25.5
282,British Columbia,South Interior Zone,,Scraper Operators,24.2
283,British Columbia,South Interior Zone,,Packer (Road-Roller) Operators,23.6
284,British Columbia,South Interior Zone,,Pressure Vessel Welders,32.7
285,British Columbia,South Interior Zone,,Traffic Accommodation Persons,17.2
286,British Columbia,South Interior Zone,,Form Setters,23.1
287,British Columbia,South Interior Zone,,Asphalt Layers (by hand - includes rakers),25.31
288,British Columbia,South Interior Zone,,"Helpers, Labourers (excluding Asphalt Layers, Traffic Accommodation Persons or Form Setters)",18.8
289,British Columbia,South Interior Zone,,Powder Persons and Drillers,25.6
290,British Columbia,South Interior Zone,,"Helper, Labourers with First Aid Ticket",19.2
291,Prince Edward Island,,,Electricians,18.81
292,Prince Edward Island,,,Plumbers,20.3
293,Prince Edward Island,,,Carpenters,16.44
294,Prince Edward Island,,,Painters,13.09
295,Prince Edward Island,,,Heavy-Duty Equipment Mechanics,14.64
296,Prince Edward Island,,,Truck Drivers,13.35
297,Prince Edward Island,,,"Operators Heavy Equipment (ex. Cranes, Graders, Asphalt Paving)",14.17
298,Prince Edward Island,,,Grader Operators,14.94
299,Prince Edward Island,,,Traffic Accommodation Person (Flag Person),8.64
